clf	task	method	accuracy	recall1	recall0	recall_macro	precision1	precision0	precision_macro	f1score1	f1score0	f1score_macro	mcc	spd	aod	eod	erd	

lr	Adult-Sex	default	0.85	0.6	0.93	0.76	0.73	0.87	0.8	0.66	0.9	0.78	0.56	0.19	0.1	0.12	0.11	
lr	Adult-Sex	rw	0.84	0.55	0.93	0.74	0.73	0.86	0.8	0.63	0.9	0.76	0.54	0.09	0.08	0.15	0.11	
lr	Adult-Sex	dir	0.84	0.57	0.94	0.75	0.75	0.87	0.81	0.64	0.9	0.77	0.55	0.18	0.1	0.12	0.12	
lr	Adult-Sex	lfr	0.75	0.07	0.98	0.53	0.44	0.76	0.6	0.11	0.86	0.48	0.1	0.02	0.04	0.06	0.18	
lr	Adult-Sex	ceo1	0.82	0.41	0.95	0.68	0.73	0.83	0.78	0.52	0.89	0.7	0.45	0.09	0.07	0.1	0.16	
lr	Adult-Sex	eo	0.82	0.53	0.91	0.72	0.66	0.85	0.76	0.59	0.88	0.74	0.48	0.09	0.01	0.02	0.08	
lr	Adult-Sex	ad	0.83	0.5	0.94	0.72	0.75	0.85	0.8	0.6	0.9	0.75	0.52	0.03	0.14	0.27	0.11	
lr	Adult-Sex	pr	0.76	0.05	1.0	0.52	0.98	0.76	0.87	0.09	0.86	0.48	0.18	0.01	0.02	0.04	0.19	
lr	Adult-Sex	mfc1	0.68	0.95	0.59	0.77	0.44	0.97	0.7	0.6	0.73	0.67	0.47	0.36	0.2	0.09	0.16	
lr	Adult-Sex	roc1	0.79	0.79	0.79	0.79	0.55	0.92	0.73	0.65	0.85	0.75	0.52	0.05	0.11	0.16	0.02	
lr	Adult-Sex	fairway	0.85	0.6	0.93	0.76	0.73	0.88	0.8	0.66	0.9	0.78	0.57	0.18	0.09	0.1	0.12	
lr	Adult-Sex	fairsmote	0.82	0.78	0.84	0.81	0.61	0.92	0.77	0.69	0.88	0.78	0.57	0.24	0.09	0.04	0.11	
lr	Adult-Sex	FairMask	0.85	0.59	0.93	0.76	0.73	0.87	0.8	0.65	0.9	0.78	0.56	0.18	0.09	0.1	0.12	
lr	Adult-Sex	maat	0.84	0.48	0.96	0.72	0.78	0.85	0.82	0.6	0.9	0.75	0.53	0.11	0.04	0.04	0.12	
lr	Adult-Sex	fitness_f	0.84	0.54	0.94	0.74	0.75	0.86	0.81	0.63	0.9	0.76	0.54	0.13	0.03	0.02	0.12	
lr	Adult-Race	default	0.85	0.6	0.93	0.76	0.73	0.87	0.8	0.66	0.9	0.78	0.56	0.1	0.06	0.09	0.05	
lr	Adult-Race	rw	0.85	0.59	0.93	0.76	0.73	0.87	0.8	0.65	0.9	0.78	0.56	0.05	0.03	0.06	0.05	
lr	Adult-Race	dir	0.85	0.6	0.93	0.76	0.73	0.87	0.8	0.66	0.9	0.78	0.56	0.07	0.02	0.03	0.05	
lr	Adult-Race	lfr	0.76	0.15	0.96	0.55	0.48	0.77	0.63	0.22	0.86	0.54	0.17	0.02	0.05	0.08	0.09	
lr	Adult-Race	ceo1	0.83	0.5	0.94	0.72	0.73	0.85	0.79	0.59	0.89	0.74	0.5	0.06	0.03	0.03	0.07	
lr	Adult-Race	eo	0.83	0.54	0.93	0.73	0.72	0.86	0.79	0.62	0.89	0.75	0.52	0.05	0.02	0.03	0.04	
lr	Adult-Race	ad	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.65	0.9	0.78	0.56	0.02	0.1	0.17	0.04	
lr	Adult-Race	pr	0.85	0.59	0.93	0.76	0.74	0.87	0.81	0.66	0.9	0.78	0.56	0.11	0.07	0.1	0.05	
lr	Adult-Race	mfc1	0.69	0.95	0.6	0.77	0.44	0.97	0.71	0.6	0.74	0.67	0.48	0.16	0.08	0.06	0.04	
lr	Adult-Race	roc1	0.8	0.85	0.78	0.81	0.56	0.94	0.75	0.67	0.85	0.76	0.56	0.04	0.04	0.07	0.01	
